START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  1.1919959228223740E+00 -8.1524550449290845E-01 -1.6253190649992004E+00
 -1.1919959228223740E+00 -8.1524550449290845E-01  1.6253190649992004E+00
 -1.1919959228223740E+00  8.1524550449290845E-01 -1.6253190649992004E+00
  1.1919959228223740E+00  8.1524550449290845E-01 -1.6253190649992004E+00
 -1.1919959228223740E+00 -8.1524550449290845E-01 -1.6253190649992004E+00
 -1.1919959228223740E+00  8.1524550449290845E-01  1.6253190649992004E+00
  1.1919959228223740E+00  1.6304910089858169E+00 -8.1265953249960021E-01
  1.1919959228223740E+00 -1.6304910089858169E+00 -8.1265953249960021E-01
 -1.1919959228223740E+00  1.6304910089858169E+00 -8.1265953249960021E-01
  1.1919959228223740E+00 -1.6304910089858169E+00  8.1265953249960021E-01
 -1.1919959228223740E+00 -1.6304910089858169E+00  8.1265953249960021E-01
 -1.1919959228223740E+00  1.6304910089858169E+00  8.1265953249960021E-01
 -1.1919959228223740E+00 -1.6304910089858169E+00 -8.1265953249960021E-01
  1.1919959228223740E+00  1.6304910089858169E+00  8.1265953249960021E-01
 -7.9466394854824940E-01 -1.2228682567393627E+00  1.6253190649992004E+00
  7.9466394854824940E-01  1.2228682567393627E+00  1.6253190649992004E+00
  7.9466394854824940E-01 -1.2228682567393627E+00  1.6253190649992004E+00
  7.9466394854824940E-01  1.2228682567393627E+00 -1.6253190649992004E+00
 -7.9466394854824940E-01 -1.2228682567393627E+00 -1.6253190649992004E+00
 -7.9466394854824940E-01  1.2228682567393627E+00  1.6253190649992004E+00
 -7.9466394854824940E-01  1.2228682567393627E+00 -1.6253190649992004E+00
  7.9466394854824940E-01 -1.2228682567393627E+00 -1.6253190649992004E+00
 -1.9866598713706236E+00 -4.0762275224645422E-01  8.1265953249960021E-01
  1.9866598713706236E+00 -4.0762275224645422E-01  8.1265953249960021E-01
  1.9866598713706236E+00  4.0762275224645422E-01  8.1265953249960021E-01
  1.9866598713706236E+00 -4.0762275224645422E-01 -8.1265953249960021E-01
  1.9866598713706236E+00  4.0762275224645422E-01 -8.1265953249960021E-01
 -1.9866598713706236E+00 -4.0762275224645422E-01 -8.1265953249960021E-01
 -1.9866598713706236E+00  4.0762275224645422E-01  8.1265953249960021E-01
 -1.9866598713706236E+00  4.0762275224645422E-01 -8.1265953249960021E-01
 -7.9466394854824940E-01 -2.0381137612322711E+00  0.0000000000000000E+00
  7.9466394854824940E-01  2.0381137612322711E+00  0.0000000000000000E+00
  7.9466394854824940E-01 -2.0381137612322711E+00  0.0000000000000000E+00
 -7.9466394854824940E-01  2.0381137612322711E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -2.0381137612322711E+00 -8.1265953249960021E-01
  0.0000000000000000E+00 -2.0381137612322711E+00  8.1265953249960021E-01
  0.0000000000000000E+00  2.0381137612322711E+00  8.1265953249960021E-01
  0.0000000000000000E+00  2.0381137612322711E+00 -8.1265953249960021E-01
 -3.9733197427412470E-01  2.0381137612322711E+00 -8.1265953249960021E-01
  3.9733197427412470E-01 -2.0381137612322711E+00 -8.1265953249960021E-01
 -3.9733197427412470E-01  2.0381137612322711E+00  8.1265953249960021E-01
  3.9733197427412470E-01 -2.0381137612322711E+00  8.1265953249960021E-01
 -3.9733197427412470E-01 -2.0381137612322711E+00 -8.1265953249960021E-01
  3.9733197427412470E-01  2.0381137612322711E+00  8.1265953249960021E-01
  3.9733197427412470E-01  2.0381137612322711E+00 -8.1265953249960021E-01
 -3.9733197427412470E-01 -2.0381137612322711E+00  8.1265953249960021E-01
  1.5893278970964988E+00  0.0000000000000000E+00  1.6253190649992004E+00
 -1.5893278970964988E+00  0.0000000000000000E+00  1.6253190649992004E+00
  1.5893278970964988E+00  0.0000000000000000E+00 -1.6253190649992004E+00
 -1.5893278970964988E+00  0.0000000000000000E+00 -1.6253190649992004E+00
 -1.5893278970964988E+00 -1.6304910089858169E+00  0.0000000000000000E+00
  1.5893278970964988E+00 -1.6304910089858169E+00  0.0000000000000000E+00
  1.5893278970964988E+00  1.6304910089858169E+00  0.0000000000000000E+00
 -1.5893278970964988E+00  1.6304910089858169E+00  0.0000000000000000E+00
  1.9866598713706236E+00 -8.1524550449290845E-01  8.1265953249960021E-01
  1.9866598713706236E+00 -8.1524550449290845E-01 -8.1265953249960021E-01
 -1.9866598713706236E+00  8.1524550449290845E-01  8.1265953249960021E-01
  1.9866598713706236E+00  8.1524550449290845E-01 -8.1265953249960021E-01
 -1.9866598713706236E+00  8.1524550449290845E-01 -8.1265953249960021E-01
  1.9866598713706236E+00  8.1524550449290845E-01  8.1265953249960021E-01
 -1.9866598713706236E+00 -8.1524550449290845E-01  8.1265953249960021E-01
 -1.9866598713706236E+00 -8.1524550449290845E-01 -8.1265953249960021E-01
  0.0000000000000000E+00  1.6304910089858169E+00 -1.6253190649992004E+00
  0.0000000000000000E+00 -1.6304910089858169E+00  1.6253190649992004E+00
  0.0000000000000000E+00 -1.6304910089858169E+00 -1.6253190649992004E+00
  0.0000000000000000E+00  1.6304910089858169E+00  1.6253190649992004E+00
  1.5893278970964988E+00 -4.0762275224645422E-01 -1.6253190649992004E+00
  1.5893278970964988E+00  4.0762275224645422E-01  1.6253190649992004E+00
 -1.5893278970964988E+00  4.0762275224645422E-01  1.6253190649992004E+00
 -1.5893278970964988E+00  4.0762275224645422E-01 -1.6253190649992004E+00
  1.5893278970964988E+00 -4.0762275224645422E-01  1.6253190649992004E+00
 -1.5893278970964988E+00 -4.0762275224645422E-01  1.6253190649992004E+00
  1.5893278970964988E+00  4.0762275224645422E-01 -1.6253190649992004E+00
 -1.5893278970964988E+00 -4.0762275224645422E-01 -1.6253190649992004E+00
  1.9866598713706236E+00 -1.2228682567393627E+00  0.0000000000000000E+00
 -1.9866598713706236E+00 -1.2228682567393627E+00  0.0000000000000000E+00
 -1.9866598713706236E+00  1.2228682567393627E+00  0.0000000000000000E+00
  1.9866598713706236E+00  1.2228682567393627E+00  0.0000000000000000E+00
 -7.9466394854824940E-01 -2.0381137612322711E+00  8.1265953249960021E-01
  7.9466394854824940E-01  2.0381137612322711E+00 -8.1265953249960021E-01
 -7.9466394854824940E-01  2.0381137612322711E+00  8.1265953249960021E-01
  7.9466394854824940E-01 -2.0381137612322711E+00 -8.1265953249960021E-01
 -7.9466394854824940E-01  2.0381137612322711E+00 -8.1265953249960021E-01
 -7.9466394854824940E-01 -2.0381137612322711E+00 -8.1265953249960021E-01
  7.9466394854824940E-01  2.0381137612322711E+00  8.1265953249960021E-01
  7.9466394854824940E-01 -2.0381137612322711E+00  8.1265953249960021E-01
  3.9733197427412470E-01  1.6304910089858169E+00  1.6253190649992004E+00
 -3.9733197427412470E-01 -1.6304910089858169E+00 -1.6253190649992004E+00
 -3.9733197427412470E-01  1.6304910089858169E+00 -1.6253190649992004E+00
  3.9733197427412470E-01 -1.6304910089858169E+00 -1.6253190649992004E+00
 -3.9733197427412470E-01  1.6304910089858169E+00  1.6253190649992004E+00
  3.9733197427412470E-01 -1.6304910089858169E+00  1.6253190649992004E+00
  3.9733197427412470E-01  1.6304910089858169E+00 -1.6253190649992004E+00
 -3.9733197427412470E-01 -1.6304910089858169E+00  1.6253190649992004E+00
 -1.1919959228223740E+00  1.2228682567393627E+00  1.6253190649992004E+00
 -1.1919959228223740E+00  1.2228682567393627E+00 -1.6253190649992004E+00
  1.1919959228223740E+00 -1.2228682567393627E+00 -1.6253190649992004E+00
 -1.1919959228223740E+00 -1.2228682567393627E+00  1.6253190649992004E+00
  1.1919959228223740E+00  1.2228682567393627E+00 -1.6253190649992004E+00
  1.1919959228223740E+00 -1.2228682567393627E+00  1.6253190649992004E+00
 -1.1919959228223740E+00 -1.2228682567393627E+00 -1.6253190649992004E+00
  1.1919959228223740E+00  1.2228682567393627E+00  1.6253190649992004E+00
  1.1919959228223740E+00 -2.0381137612322711E+00  0.0000000000000000E+00
  1.1919959228223740E+00  2.0381137612322711E+00  0.0000000000000000E+00
 -1.1919959228223740E+00 -2.0381137612322711E+00  0.0000000000000000E+00
 -1.1919959228223740E+00  2.0381137612322711E+00  0.0000000000000000E+00
  2.3839918456447480E+00  0.0000000000000000E+00  0.0000000000000000E+00
 -2.3839918456447480E+00  0.0000000000000000E+00  0.0000000000000000E+00
 -1.5893278970964988E+00 -8.1524550449290845E-01 -1.6253190649992004E+00
 -1.5893278970964988E+00 -8.1524550449290845E-01  1.6253190649992004E+00
  1.5893278970964988E+00 -8.1524550449290845E-01  1.6253190649992004E+00
 -1.5893278970964988E+00  8.1524550449290845E-01 -1.6253190649992004E+00
  1.5893278970964988E+00  8.1524550449290845E-01 -1.6253190649992004E+00
  1.5893278970964988E+00 -8.1524550449290845E-01 -1.6253190649992004E+00
 -1.5893278970964988E+00  8.1524550449290845E-01  1.6253190649992004E+00
  1.5893278970964988E+00  8.1524550449290845E-01  1.6253190649992004E+00
  1.5893278970964988E+00  1.6304910089858169E+00 -8.1265953249960021E-01
  1.5893278970964988E+00 -1.6304910089858169E+00  8.1265953249960021E-01
 -1.5893278970964988E+00 -1.6304910089858169E+00  8.1265953249960021E-01
 -1.5893278970964988E+00  1.6304910089858169E+00  8.1265953249960021E-01
 -1.5893278970964988E+00  1.6304910089858169E+00 -8.1265953249960021E-01
  1.5893278970964988E+00 -1.6304910089858169E+00 -8.1265953249960021E-01
 -1.5893278970964988E+00 -1.6304910089858169E+00 -8.1265953249960021E-01
  1.5893278970964988E+00  1.6304910089858169E+00  8.1265953249960021E-01
 -2.3839918456447480E+00 -4.0762275224645422E-01  0.0000000000000000E+00
  2.3839918456447480E+00  4.0762275224645422E-01  0.0000000000000000E+00
  2.3839918456447480E+00 -4.0762275224645422E-01  0.0000000000000000E+00
 -2.3839918456447480E+00  4.0762275224645422E-01  0.0000000000000000E+00
  7.9466394854824940E-01  1.6304910089858169E+00 -1.6253190649992004E+00
 -7.9466394854824940E-01  1.6304910089858169E+00  1.6253190649992004E+00
  7.9466394854824940E-01 -1.6304910089858169E+00 -1.6253190649992004E+00
  7.9466394854824940E-01 -1.6304910089858169E+00  1.6253190649992004E+00
  7.9466394854824940E-01  1.6304910089858169E+00  1.6253190649992004E+00
 -7.9466394854824940E-01  1.6304910089858169E+00 -1.6253190649992004E+00
 -7.9466394854824940E-01 -1.6304910089858169E+00 -1.6253190649992004E+00
 -7.9466394854824940E-01 -1.6304910089858169E+00  1.6253190649992004E+00
  0.0000000000000000E+00  0.0000000000000000E+00 -2.4379785974988009E+00
  0.0000000000000000E+00  0.0000000000000000E+00  2.4379785974988009E+00
  0.0000000000000000E+00  2.4457365134787254E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -2.4457365134787254E+00  0.0000000000000000E+00
  3.9733197427412470E-01  0.0000000000000000E+00  2.4379785974988009E+00
 -3.9733197427412470E-01  0.0000000000000000E+00  2.4379785974988009E+00
  3.9733197427412470E-01  0.0000000000000000E+00 -2.4379785974988009E+00
 -3.9733197427412470E-01  0.0000000000000000E+00 -2.4379785974988009E+00
  1.9866598713706236E+00 -1.2228682567393627E+00  8.1265953249960021E-01
 -1.9866598713706236E+00 -1.2228682567393627E+00  8.1265953249960021E-01
  1.9866598713706236E+00  1.2228682567393627E+00  8.1265953249960021E-01
 -1.9866598713706236E+00  1.2228682567393627E+00 -8.1265953249960021E-01
 -1.9866598713706236E+00 -1.2228682567393627E+00 -8.1265953249960021E-01
  1.9866598713706236E+00 -1.2228682567393627E+00 -8.1265953249960021E-01
 -1.9866598713706236E+00  1.2228682567393627E+00  8.1265953249960021E-01
  1.9866598713706236E+00  1.2228682567393627E+00 -8.1265953249960021E-01
  0.0000000000000000E+00  4.0762275224645422E-01  2.4379785974988009E+00
  0.0000000000000000E+00 -4.0762275224645422E-01  2.4379785974988009E+00
  0.0000000000000000E+00 -4.0762275224645422E-01 -2.4379785974988009E+00
  0.0000000000000000E+00  4.0762275224645422E-01 -2.4379785974988009E+00
  3.9733197427412470E-01 -2.4457365134787254E+00  0.0000000000000000E+00
 -3.9733197427412470E-01 -2.4457365134787254E+00  0.0000000000000000E+00
  3.9733197427412470E-01  2.4457365134787254E+00  0.0000000000000000E+00
 -3.9733197427412470E-01  2.4457365134787254E+00  0.0000000000000000E+00
 -1.1919959228223740E+00  2.0381137612322711E+00  8.1265953249960021E-01
  1.1919959228223740E+00 -2.0381137612322711E+00 -8.1265953249960021E-01
  1.1919959228223740E+00  2.0381137612322711E+00 -8.1265953249960021E-01
 -1.1919959228223740E+00 -2.0381137612322711E+00  8.1265953249960021E-01
  1.1919959228223740E+00  2.0381137612322711E+00  8.1265953249960021E-01
 -1.1919959228223740E+00 -2.0381137612322711E+00 -8.1265953249960021E-01
  1.1919959228223740E+00 -2.0381137612322711E+00  8.1265953249960021E-01
 -1.1919959228223740E+00  2.0381137612322711E+00 -8.1265953249960021E-01
  3.9733197427412470E-01  4.0762275224645422E-01  2.4379785974988009E+00
 -3.9733197427412470E-01  4.0762275224645422E-01  2.4379785974988009E+00
 -3.9733197427412470E-01  4.0762275224645422E-01 -2.4379785974988009E+00
  3.9733197427412470E-01  4.0762275224645422E-01 -2.4379785974988009E+00
  3.9733197427412470E-01 -4.0762275224645422E-01  2.4379785974988009E+00
 -3.9733197427412470E-01 -4.0762275224645422E-01 -2.4379785974988009E+00
 -3.9733197427412470E-01 -4.0762275224645422E-01  2.4379785974988009E+00
  3.9733197427412470E-01 -4.0762275224645422E-01 -2.4379785974988009E+00
  2.3839918456447480E+00  0.0000000000000000E+00  8.1265953249960021E-01
 -2.3839918456447480E+00  0.0000000000000000E+00  8.1265953249960021E-01
  2.3839918456447480E+00  0.0000000000000000E+00 -8.1265953249960021E-01
 -2.3839918456447480E+00  0.0000000000000000E+00 -8.1265953249960021E-01
  2.3839918456447480E+00  8.1524550449290845E-01  0.0000000000000000E+00
 -2.3839918456447480E+00  8.1524550449290845E-01  0.0000000000000000E+00
  2.3839918456447480E+00 -8.1524550449290845E-01  0.0000000000000000E+00
 -2.3839918456447480E+00 -8.1524550449290845E-01  0.0000000000000000E+00
 -2.3839918456447480E+00 -4.0762275224645422E-01 -8.1265953249960021E-01
  2.3839918456447480E+00 -4.0762275224645422E-01  8.1265953249960021E-01
 -2.3839918456447480E+00 -4.0762275224645422E-01  8.1265953249960021E-01
 -2.3839918456447480E+00  4.0762275224645422E-01 -8.1265953249960021E-01
  2.3839918456447480E+00  4.0762275224645422E-01 -8.1265953249960021E-01
 -2.3839918456447480E+00  4.0762275224645422E-01  8.1265953249960021E-01
  2.3839918456447480E+00  4.0762275224645422E-01  8.1265953249960021E-01
  2.3839918456447480E+00 -4.0762275224645422E-01 -8.1265953249960021E-01
  7.9466394854824940E-01  0.0000000000000000E+00  2.4379785974988009E+00
 -7.9466394854824940E-01  0.0000000000000000E+00 -2.4379785974988009E+00
  7.9466394854824940E-01  0.0000000000000000E+00 -2.4379785974988009E+00
 -7.9466394854824940E-01  0.0000000000000000E+00  2.4379785974988009E+00
 -1.9866598713706236E+00  0.0000000000000000E+00 -1.6253190649992004E+00
 -1.9866598713706236E+00  0.0000000000000000E+00  1.6253190649992004E+00
  1.9866598713706236E+00  0.0000000000000000E+00 -1.6253190649992004E+00
  1.9866598713706236E+00  0.0000000000000000E+00  1.6253190649992004E+00
  1.9866598713706236E+00 -1.6304910089858169E+00  0.0000000000000000E+00
 -1.9866598713706236E+00  1.6304910089858169E+00  0.0000000000000000E+00
  1.9866598713706236E+00  1.6304910089858169E+00  0.0000000000000000E+00
 -1.9866598713706236E+00 -1.6304910089858169E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -8.1524550449290845E-01 -2.4379785974988009E+00
  0.0000000000000000E+00  8.1524550449290845E-01  2.4379785974988009E+00
  0.0000000000000000E+00  8.1524550449290845E-01 -2.4379785974988009E+00
  0.0000000000000000E+00 -8.1524550449290845E-01  2.4379785974988009E+00
  7.9466394854824940E-01  2.4457365134787254E+00  0.0000000000000000E+00
  7.9466394854824940E-01 -2.4457365134787254E+00  0.0000000000000000E+00
 -7.9466394854824940E-01 -2.4457365134787254E+00  0.0000000000000000E+00
 -7.9466394854824940E-01  2.4457365134787254E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -2.4457365134787254E+00  8.1265953249960021E-01
  0.0000000000000000E+00 -2.4457365134787254E+00 -8.1265953249960021E-01
  0.0000000000000000E+00  2.4457365134787254E+00  8.1265953249960021E-01
  0.0000000000000000E+00  2.4457365134787254E+00 -8.1265953249960021E-01
 -1.5893278970964988E+00 -1.2228682567393627E+00  1.6253190649992004E+00
  1.5893278970964988E+00 -1.2228682567393627E+00  1.6253190649992004E+00
  1.5893278970964988E+00 -1.2228682567393627E+00 -1.6253190649992004E+00
  1.5893278970964988E+00  1.2228682567393627E+00 -1.6253190649992004E+00
  1.5893278970964988E+00  1.2228682567393627E+00  1.6253190649992004E+00
 -1.5893278970964988E+00  1.2228682567393627E+00  1.6253190649992004E+00
 -1.5893278970964988E+00  1.2228682567393627E+00 -1.6253190649992004E+00
 -1.5893278970964988E+00 -1.2228682567393627E+00 -1.6253190649992004E+00
 -1.5893278970964988E+00  2.0381137612322711E+00  0.0000000000000000E+00
  1.5893278970964988E+00 -2.0381137612322711E+00  0.0000000000000000E+00
 -1.5893278970964988E+00 -2.0381137612322711E+00  0.0000000000000000E+00
  1.5893278970964988E+00  2.0381137612322711E+00  0.0000000000000000E+00
 -1.1919959228223740E+00 -1.6304910089858169E+00  1.6253190649992004E+00
  1.1919959228223740E+00 -1.6304910089858169E+00  1.6253190649992004E+00
  1.1919959228223740E+00 -1.6304910089858169E+00 -1.6253190649992004E+00
  1.1919959228223740E+00  1.6304910089858169E+00  1.6253190649992004E+00
 -1.1919959228223740E+00  1.6304910089858169E+00  1.6253190649992004E+00
 -1.1919959228223740E+00 -1.6304910089858169E+00 -1.6253190649992004E+00
  1.1919959228223740E+00  1.6304910089858169E+00 -1.6253190649992004E+00
 -1.1919959228223740E+00  1.6304910089858169E+00 -1.6253190649992004E+00
  7.9466394854824940E-01  4.0762275224645422E-01  2.4379785974988009E+00
 -7.9466394854824940E-01 -4.0762275224645422E-01 -2.4379785974988009E+00
  7.9466394854824940E-01 -4.0762275224645422E-01 -2.4379785974988009E+00
  7.9466394854824940E-01  4.0762275224645422E-01 -2.4379785974988009E+00
 -7.9466394854824940E-01  4.0762275224645422E-01  2.4379785974988009E+00
 -7.9466394854824940E-01  4.0762275224645422E-01 -2.4379785974988009E+00
 -7.9466394854824940E-01 -4.0762275224645422E-01  2.4379785974988009E+00
  7.9466394854824940E-01 -4.0762275224645422E-01  2.4379785974988009E+00
  1.9866598713706236E+00  4.0762275224645422E-01  1.6253190649992004E+00
 -1.9866598713706236E+00  4.0762275224645422E-01  1.6253190649992004E+00
  1.9866598713706236E+00  4.0762275224645422E-01 -1.6253190649992004E+00
 -1.9866598713706236E+00  4.0762275224645422E-01 -1.6253190649992004E+00
 -1.9866598713706236E+00 -4.0762275224645422E-01 -1.6253190649992004E+00
  1.9866598713706236E+00 -4.0762275224645422E-01  1.6253190649992004E+00
 -1.9866598713706236E+00 -4.0762275224645422E-01  1.6253190649992004E+00
  1.9866598713706236E+00 -4.0762275224645422E-01 -1.6253190649992004E+00
